LookupString,Latitude,Longitude,GeoName
"Teotihuacan, Mexico",19.690089649999997,-98.84536815577445,"Teotihuacán, MEX 132, Teotihuacán, Estado de México, 55850, México"
"Atzcapotzalco, Santiago Ahuitzotla, El Corral, Mexico",0,0,
"Jalisco, Totoate, Mexico",0,0,
"Guerrero, Coacoyula, Mexico",18.073611,-99.631111,"Coacoyula de Álvarez, Iguala de la Independencia, Guerrero, México"
"San Juan Teotihuacán, Luz Y Fuerza Grounds, Mexico",0,0,
"Papalotla, El Gavilan, Mexico",0,0,
"Guerrero, Cerro Ceron, Mexico",0,0,
"Chihuahua, Carichic, Mexico",31.71545,-106.485157,"Calle Carichic, Anexas, Ciudad Juárez, Juárez, Chihuahua, 32040, México"
"Santiago Ahuitzotla, Mexico",0,0,
"Oaxaca, Etla, Mexico",17.2053618,-96.8004105,"Etla, Villa de Etla, Oaxaca, 68251, México"
"Otumba, Mexico",19.65709395,-98.74015493982428,"Otumba, Estado de México, México"
"Tlaltenango, Mexico",19.16254935,-98.33978081478668,"Tlaltenango, Puebla, México"
"Jalisco, Chapala, Mexico",20.2954814,-103.1898601,"Chapala, Jalisco, 45900, México"
"Central Mexico, Mexico",20.9511737,-87.5502534,"El Central, Lázaro Cárdenas, Quintana Roo, México"
"Sinaloa, San Lorenzo River, El Dorado, Mexico",0,0,
"Veracruz, Topila, Cerro La Puerta, Mexico",0,0,
"Michoacan, Mexico",19.207098,-101.878113,"Michoacán de Ocampo, México"
"Oaxaca, Piedra Blanca, Mexico",16.9880302,-95.0158261,"Piedra Blanca, San Juan Guichicovi, Oaxaca, México"
"Tlahuac, Mexico",19.26950425,-99.00409684032508,"Tláhuac, Ciudad de México, México"
"Jalisco, Axkeltan, Cerro De Colotlan, Mexico",0,0,
"Buenos Aires, Puntarenas, Costa Rica",9.08251365,-83.24650250792548,"Cantón Buenos Aires, Provincia Puntarenas, Costa Rica"
"Oaxaca, Yanhuitlan, Mexico",17.5292472,-97.3423926,"Santo Domingo Yanhuitlán, Oaxaca, 69660, México"
"Chihuahua, Casas Grandes, Mexico",30.1864946,-108.0239307,"Chihuahua, El Adobe, Mata Ortiz, Casas Grandes, Chihuahua, México"
"San Juan Ixtayopan, Mexico",19.240564,-98.9941977,"San Juan Ixtayopan, San Andrés Mixquic, Tláhuac, Ciudad de México, 13510, México"
"Chihuahua, Guajochic, Mexico",0,0,
"Tamaulipas, Mexico",23.9891553,-98.7026825,"Tamaulipas, México"
"Tetelpan, Mexico",19.3380958,-99.2354053,"Tetelpan, Álvaro Obregón, Ciudad de México, 01700, México"
"Jalisco, Lake Chapala, Mexico",20.2954814,-103.1898601,"Chapala, Jalisco, 45900, México"
"San Luis Potosi, Pujal, Mexico",21.8491221,-98.9403104,"El Pujal, Ciudad Valles, San Luis Potosí, 79260, México"
"Guerrero, Chalchentepetl, Mexico",0,0,
"Tamaulipas, Tampico District, Mexico",0,0,
"Culhuacan, Mexico",19.336909,-99.1089421,"Culhuacán, Avenida Tláhuac, Estrella de Culhuacán, Iztapalapa, Ciudad de México, 09800, México"
"Rio Tamasi, Mexico",46.6293978,18.2850331,"Tamási, Tamási járás, Tolna megye, Dél-Dunántúl, Dunántúl, 7090, Magyarország"
"Utila Island, Honduras",16.0965571,-86.94340193880814,"Útila, Islas de la Bahía, Honduras"
