Id,Acquisition Year,Acquisition Type,Latitude,Longitude,Country,Locale
1 / 5270,1898,,8.537981,-80.782127,Panama,
1 / 5271,1898,,8.537981,-80.782127,Panama,
1 / 5272,1898,,8.537981,-80.782127,Panama,
1 / 5273,1898,,8.537981,-80.782127,Panama,
1 / 5274,1898,,8.537981,-80.782127,Panama,
1 / 5275,1898,,8.537981,-80.782127,Panama,
1 / 5276 A,1898,,8.537981,-80.782127,Panama,
1 / 5276 B,1898,,8.537981,-80.782127,Panama,
1 / 5277,1898,,8.537981,-80.782127,Panama,
1 / 5278 A,1898,,8.537981,-80.782127,Panama,
1 / 5278 B,1898,,8.537981,-80.782127,Panama,
1 / 5278 C,1898,,8.537981,-80.782127,Panama,
1 / 5278 D,1898,,8.537981,-80.782127,Panama,
1 / 5279,1898,,8.537981,-80.782127,Panama,
1 / 5280,1898,,8.537981,-80.782127,Panama,
1 / 5281,1898,,8.537981,-80.782127,Panama,
1 / 5282,1898,,8.537981,-80.782127,Panama,
1 / 5283 A,1898,,8.537981,-80.782127,Panama,
1 / 5283 B,1898,,8.537981,-80.782127,Panama,
1 / 5284 A,1898,,8.537981,-80.782127,Panama,
1 / 5284 B,1898,,8.537981,-80.782127,Panama,
1 / 5285,1898,,8.537981,-80.782127,Panama,
1 / 5286 A,1898,,8.537981,-80.782127,Panama,
1 / 5286 B,1898,,8.537981,-80.782127,Panama,
1 / 5286 C,1898,,8.537981,-80.782127,Panama,
1 / 5286 D,1898,,8.537981,-80.782127,Panama,
1 / 5286 E,1898,,8.537981,-80.782127,Panama,
1 / 5286 F,1898,,8.537981,-80.782127,Panama,
1 / 5287,1898,,8.537981,-80.782127,Panama,
1 / 5288,1898,,8.537981,-80.782127,Panama,
1 / 5289,1898,,8.537981,-80.782127,Panama,
1 / 5290,1898,,8.537981,-80.782127,Panama,
1 / 5291,1898,,8.537981,-80.782127,Panama,
1 / 5292,1898,,8.537981,-80.782127,Panama,
1 / 5293,1898,,8.537981,-80.782127,Panama,
1 / 5294,1898,,8.537981,-80.782127,Panama,
1 / 5295,1898,,8.537981,-80.782127,Panama,
1 / 5296,1898,,8.537981,-80.782127,Panama,
1 / 5297,1898,,8.537981,-80.782127,Panama,
1 / 5298,1898,,8.537981,-80.782127,Panama,
1 / 5299,1898,,8.537981,-80.782127,Panama,
1 / 5300,1898,,8.537981,-80.782127,Panama,
1 / 5301,1898,,8.537981,-80.782127,Panama,
1 / 5302,1898,,8.537981,-80.782127,Panama,
1 / 5303,1898,,8.537981,-80.782127,Panama,
1 / 5304,1898,,8.537981,-80.782127,Panama,
1 / 5305,1898,,8.537981,-80.782127,Panama,
1 / 5306,1898,,8.537981,-80.782127,Panama,
1 / 5307,1898,,8.537981,-80.782127,Panama,
1 / 5764,1900,Gift,9.748917,-83.753428,Costa Rica,
1 / 5765,1900,Gift,9.748917,-83.753428,Costa Rica,
1 / 5766,1900,Gift,0,0,,Granada
1 / 5767,1900,Gift,8.537981,-80.782127,Panama,
1 / 5769 A,1900,Gift,9.748917,-83.753428,Costa Rica,
1 / 5769 B,1900,Gift,9.748917,-83.753428,Costa Rica,
1 / 5770,1900,Gift,0,0,,Granada
1 / 5771 A,1900,Gift,0,0,,
1 / 5771 B,1900,Gift,0,0,,
1 / 6737,1903,Gift,15.414999,-61.370976,Dominica,
1 / 6738,1903,Gift,15.414999,-61.370976,Dominica,
1 / 6739,1903,Gift,15.414999,-61.370976,Dominica,
1 / 6740,1903,Gift,15.414999,-61.370976,Dominica,
1 / 6741,1903,Gift,15.414999,-61.370976,Dominica,
1 / 6742,1903,Gift,15.414999,-61.370976,Dominica,
