text,count
ROOSTER,5
SAMVARA AND CONSORT,5
PADMAPANI,5
TARA ?,5
MARICI,5
VAJRAVARAHI,5
BEGTSE,5
ONE OF FIVE LONG LIFE GODDESSES,5
"AVALOKITESVARA, SADAKSARI",5
YAMANTAKA AND CONSORT,5
UNDERSHIRT,5
CHOPSTICKS,5
COINS,5
"FLOWERING PLANTS, GOLD BRANCHES, LEAVES AND BLOSSOMS",5
"ANTHROPOMORPHIC, GEOMETRIC DESIGNS",5
STEPPED FRETS AND KEYS,5
ROW OF BIRDS,5
FELINE AND BIRD FIGURES,5
WAVE MOTIF,5
STYLIZED HUMAN FIGURES,5
YELLOW AND BROWN,5
HUMAN FIGURES WITH HEADDRESSES HOLDING STAFFS OR WEAPONS?,5
STYLIZED ANIMAL MOTIF,5
STEPPED DIAMOND MOTIF,5
RECTANGULAR OR DIAGONAL STEPPED LINES WITH BIRDS IN PROFILE MOTIF,5
GEOMETRIC MOTIFS ON 5 SMALL FRAGMENTS FROM DIFFERENT TEXTILES,5
"TIE-DYED ANIMAL AND BIRD DESIGN ON PLAIN GAUZY GROUND, GEOMETRIC PLANT MOTIF",5
DIAMOND PATTERN CREATED BY KNOTTING TECHNIQUE,5
"MINIATURE YARN BALLS HANGNIG FROM YARN, COVERED LOOPS ATTACHED TO STICKS, TASSEL",5
PIPE,5
SQUARE,5
CALF,5
AIRPLANE,5
HEAD AND BODY,5
MONKEY?,5
BLADE,5
GROTESQUE FIGURE,5
GROTESQUE HUMAN FORM,5
VASE,5
SAUCER,5
TRUNK,5
HIEROGLYPH,5
HEAD FIGURE,5
TIGER FOOT,5
HUMAN FORM,5
"HEAD, EYES WITH SINGLE GROOVES",5
"FACE, ARMS",5
CROSSED DANCERS,5
STONE CELT,5
STONE FIGURE,5
LOWER PORTION OF HEAD,5
HUMAN FEMALE BODY,5
LOOP HANDLE FROM BOWL,5
BELL,5
"HEAD, XIPE",5
"BODY, OLD GOD",5
"HEAD, ORNATE HEADRESS",5
"MALE? HEAD, HEADDRESS",5
"HEAD, FEMALE?",5
"BODY, QUETZALCOATL",5
"SHIELD, STAR",5
MELON-SHAPE,5
"FIGURE, TURBAN, HEADDRESS",5
"ANIMAL FIGURINE, BIRD HEAD",5
STRIPED,4
"INSTALLATION TITLE ""PALIULI""",4
"TITLE ""TÄTOWIRUNG; MORESBY-ARCH. """,4
"TITLE ""MATUPI, NEU POMMERN """,4
"KAYAK, KAYAK PADDLER",4
DEPICTS SEAL,4
HAWK HEAD,4
ORCA,4
TOAD,4
MOUNTAIN,4
STRIPE PATTERN,4
ARROW PATTERN,4
BEAD DESIGN,4
WHALE DORSAL FIN,4
GROUND SHARK,4
FLOWER DESIGN,4
LIZARD DESIGN,4
WATER SNAKE DESIGN,4
DIAMOND DESIGN,4
FLYING GEESE DESIGN,4
RED LINE MOTIF SYMBOLIZES CHILD BEARING PORTION OF WOMAN'S LIFE,4
TERRACE DESIGN,4
FLORAL PATTERN,4
"GEOMETRIC, TRIANGLES",4
SEAL'S HEAD,4
HUMAN HAND,4
CLAM SHELL,4
RAIN GOD,4
MONK,4
SITATAPATRA,4
YAMANTAKA,4
VAJRASATTVA AND CONSORT,4
CITAPATI,4
GANESHA,4
LOKAPALA,4
SAMANTABHADRA,4
DORJE LEGPA,4
ARHAT KALIKA,4
ARHAT AJITA,4
VAIROCANA,4
SIMHAVAKTRA,4
DAKINI,4
GARUDA,4
UNIDENTIFIED LAMA,4
"SECOND PANCHEN LAMA, PANCHEN BLO BZANG YE SHES DPAL BZANG PO",4
MALAT,4
TANTRI,4
"MAHASIDDHA, UNIDENTIFIED",4
CARP,4
UNICORN,4
KUMBA KARNA,4
TRAY,4
POT,4
SLIPPER,4
PLATE,4
DRAGON,4
DARUMA,4
"HOROL, WHEEL OF LAW",4
"NOZOW, DOUBLE FISH IN LOTUS",4
"HASS, SWASTIKA",4
"GARID, GARUDA",4
"ASLAN, SNOW LION",4
MOUSE,4
YAK,4
"RABBIT, HARE",4
"CHICKEN, ROOSTER",4
"FLORAL, GEOMETRIC",4
SANDAL-SHAPED SHOE,4
FLORAL/VINE DESIGNS,4
SUN WUKONG IN THE ACT OF BEATING THE WHITE-BONED DEMON (JOURNEY TO THE WEST),4
MEASUREMENT AND SCALE,4
GEOMETRIC AND HUMAN FIGURE MOTIFS,4
STANDING FEMALE,4
GEOMETRIC DESIGNS,4
STYLIZED ANIMAL FIGURES,4
ZEBRA BRAIDED CORD,4
"DIAMOND PATTERN, SNAKE MOTIF",4
DOUBLE-HEADED SNAKES; DIAMONDS,4
INTERLOCKED ANIMAL MOTIF,4
STYLIZED ANIMAL FIGURE,4
"STYLIZED FACES, FELINES, GEOMETRIC MOTIFS",4
CHECKERBOARD MOTIF,4
BIRD AND GEOMETRIC MOTIFS,4
BIRD AND FELINE MOTIFS,4
BIRD AND FLOWER PATTERN,4
"MONOCHROME, NO DESIGN",4
FELINES; OTHER ANIMALS AND GEOMETRIC MOTIFS,4
STANDING FIGURES,4
CHECKERBOARD PATTERN,4
"MONOCHROME STEPPED FRET BLOCKS, BIRDS IN RECTANGLES",4
SCROLLS; INTERLOCKED SNAKES; DIAMONDS,4
MULTICOLORED WRAPPING,4
ABSTRACT MOTIFS,4
GEOMETRIC OR STYLIZED DOUBLE-HEADED ANIMAL MOTIF,4
DOUBLE HEADED BIRDS IN ALTERNATING COLORS,4
STYLIZED BIRD MOTIF,4
MONOCHROME MAINFIELD WITH ONE ROW OF BIRDS,4
HUMMINGBIRD AND FLOWER MOTIF,4
OBEIAH,4
HORN,4
CANNON,4
HEAD AND NECK,4
STONE FACE,4
GROTESQUE HEADS,4
STONE HEAD PENDANT,4
GROTESQUE,4
HUMAN TORSO,4
3 LEGS,4
"HUMAN, MASK",4
SITTING,4
"HUMAN FIGURE, SEATED",4
TURTLE HEAD,4
"FACE, MASK",4
QUADRUPED,4
"HUMAN, AMULET",4
ANIMAL HEAD AND TAIL,4
SEATED MAN,4
SIZING,4
KNEELING FIGURE,4
CEREMONIAL OBJECT,4
LONG SNOUTED FACE,4
TRIPOD BOWL,4
BAT FIGURES,4
"HUMAN FIGURE, STONE",4
"HEAD, FEMALE TORSO",4
LEG?,4
TORSO FIGURINE,4
SEATED BODY,4
HEAD WITH HEADDRESS,4
PREGNANT,4
"TORSO, LEG",4
DEER,4
HUMAN FEMALE BREAST,4
UPPER TORSO,4
TWO HORNS GODDESS,4
LIMB,4
"BODY, CARRYING CHILD FIGURINE",4
"BODY, TASSELLED SKIRT",4
FIGURE WITH DRUM,4
WHITE FILLET,4
"TORSO, LEGS",4
POINT,4
TIGER FIGURE,4
EARSPOOL,4
ARM AND HAND,4
"ANIMAL FIGURINE, TIGER HEAD",4
FLOWER TOTO,4
DOUBLE HEADED BIRD,4
OBSIDIAN FRAGMENT,4
HUMAN? FACE,3
PHALLUS,3
OUTRIGGER CANOE WITH ACCESSORIES,3
NAUTICAL DESIGN,3
"TITLE ""PIAHLHAUS; HUMBOLDTBAI""",3
"TITLE ""?VANAKA""; PORT MORESBY. MOTU""",3
"TITLE ""TÄTOWIRUNG; HOODBAI. (FRAU)""",3
"TITLE ""TÄTOWIRUNG. FRAUEN""",3
"TITLE ""MOTU; PORT MORESBY""",3
EAGLE?,3
REPRESENTS BEAR,3
DEMON,3
MOTHER OF FLOWERS,3
ASSISTANT OF MOON,3
"WATER THROWER, SERVANT OF THUNDERBIRD",3
MAKLAALA'LILX DESIGN (RIPPLES IN WATER MADE BY BOW OF CANOE),3
FLY PATTERN,3
RATTLESNAKE,3
REPRESENTS BEAVER,3
BUTTERFLY DESIGN,3
OLD WOMAN,3
HUMAN EYE,3
HALIBUT,3
FRET DESIGN,3
"""RAVEN""",3
"""EAGLE""",3
"""THUNDERBIRD""",3
EARTHWORM DESIGN,3
GRASSHOPPER LEG DESIGN,3
QUAIL TIP AND RED MOUNTAINS DESIGNS,3
DEER EXCREMENT DESIGN,3
STRIPED DESIGN,3
CORN COB,3
FLORAL DESIGNS,3
LEAF DESIGN,3
SPIRAL,3
WOLF'S HEAD,3
WATER HEN,3
ANGRY MAN'S SPIRIT,3
REPRESENTS OLD COPPER,3
REPRESENTS DOCTOR'S GUARDSMEN OR YAKES,3
SEA WORM,3
MYTHICAL WATER SPIRIT KO-NA-KO-TATE,3
SKATE,3
DEAD TLINGIT SPIRIT,3
2 HEADS,3
WALRUS,3
