text,count
STONE (CATLINITE),39
"CLAY, PIGMENT ?",39
"HIDE, BEADS, SINEW, PIGMENT",39
"WOOD, COATING, PIGMENT",39
"METAL (BRASS), COATING",39
"HORN, COATING",39
"METAL (IRON), CORD, COATING",39
STONE (CHERT),38
"WOOD, SINEW, HIDE",38
ANTLER (ELK),38
"PLANT FIBER (LEAVES, TWIGS)",38
"PAPER, CLOTH, PIGMENT, WOOD, CORD",38
"COTTON, CAMELID FIBER, CANE",38
"CERAMIC, PIGMENT, COATING",38
"WOOD, HIDE, FUR, METAL, SINEW, COATING, BONE",38
SHELL (CLAM),37
"BONE (KANGAROO), GUM (SPINIFEX)",37
"WOOD, FEATHERS, SINEW, PIGMENT",37
"PLANT FIBER (SPRUCE ROOT), PIGMENT",37
"BEADS (GLASS), THREAD (COTTON), YARN (WOOL)",37
"WOOD, FEATHERS, STRING, PIGMENT",37
METAL (SILVER ?),37
"BARK (BARK CLOTH), PIGMENT",37
"WOOD, METAL (IRON), FEATHER, PITCH, CORD",37
"PLANT FIBER, CORD, DYE, LEAVES",37
"WOOD, METAL, HIDE, FEATHER, PLANT FIBER, CORD",37
"WOOD, ROPE",36
ROPE,36
"BAMBOO, WOOD, PLANT FIBER, VEGETABLE GUM?/PARINARIUM NUT PASTE?",36
"IVORY, HIDE",36
"HIDE, FUR, SINEW, PIGMENT",36
"CLOTH (COTTON), YARN (WOOL)",36
HIDE (SEAL),36
"PAPER, WOOD, PIGMENT, CLOTH, CORD, METAL",36
LAVA,36
"CLAY, SLIP",36
"WOOD, METAL, HIDE, COATING",36
"GOURD, PLANT FIBER",35
PLASTIC,35
VEGETABLE,35
"BARK (BIRCH), WOOD, PLANT FIBER",35
"WOOD, HIDE, FUR",35
"BEAD, THREAD",35
"METAL (SILVER), STONE (TURQUOISE)",35
"METAL, GLASS",35
FIBER (HEMP),35
BARK (BARK CLOTH),35
"CLOTH (COTTON), MIRROR",35
"BEAD, CORD, CLOTH",35
"WOOD, METAL, LEAF, STAIN, COATING",35
"COTTON, COMMERCIAL",35
"FEATHER, WOOD, YARN",35
"CANE, WOOD, PIGMENT",34
VINE,34
PLANT FIBER (ROOT ?),34
