text,count
HUIPIL EMBROIDERED STRIP,26
GOLD PIECE,26
COOKING VESSEL,25
DANCING STICK,25
HEADDRESS (WOMAN),25
BAILER,25
CARRYING NET,25
STIRRING PADDLE,25
CLAPPER,25
DRINKING GOURD,25
BAG (MAN),25
HATBAND,25
GAME TOP,25
POT FRAGMENT,25
CHILKAT BLANKET,25
CURTAIN,25
RABBIT STICK,25
KACHINA MASK,25
FRATERNITY,25
VEIL,25
CONCRETION,25
SNOW SHOVEL,25
WICKERWORK STARTING KNOT,25
SNOW BEATER,25
STONE KNIFE FRAGMENT,25
RAIN COAT,25
TOY CUP,25
HUMAN SHRUNKEN HEAD,25
SHOULDER ORNAMENT,25
ANKLEBAND,25
FRONTLET,25
BELT LOOM,25
CARRYING CLOTH (WOMAN),25
TUFT,25
VESSEL COVER,24
AXE FRAGMENT,24
NOSE FLUTE,24
WATER CARRIER,24
MALLET,24
COCONUT,24
HOOD (WOMAN),24
EAR PENDANT,24
MODEL SPEAR,24
BODKIN,24
SNAIL SHELL,24
SHELL BAND,24
PENIS COVER,24
WORK BASKET,24
FLAG,24
SCALP,24
LIP ORNAMENT,24
CEDAR,24
BEAR TOOTH,24
PUMP DRILL,24
PAIL,24
CARRYING RING,24
WAR GOD,24
CLAMP,24
MODEL PLOW,24
WEAVING BEATER,24
FAN CASE,24
POISON,24
GAMEBOARD,24
METAL OBJECT,24
KRIS SCABBARD,24
GOWN,24
BEHEADING KNIFE,24
G-STRING,24
BREECHCLOUT,24
ALBUM,24
CROWN (MAN),24
BELT ORNAMENT FEATHER BUNDLE,24
MINIATURE KERCHIEF,24
WITCH DOCTOR PARAPHERNALIA,24
STONE FIGURINE HEAD,24
CEREMONIAL PLUME (SHAMAN),24
METAL TUBE,24
SIDESCRAPER,23
WEAPON,23
TURTLE SHELL,23
AX HEAD,23
STAKE,23
COUNTER,23
HAIRPIN,23
MODEL FISH TRAP,23
CIGARETTE,23
BASKETRY,23
GAME BOARD,23
BOAT,23
BONNET,23
BONE IMPLEMENT,23
WAIST BELT,23
CRADLEBOARD,23
POWDER FLASK,23
DOCTOR NECK CHARM (DOCTOR),23
SNOWSHOE MAKING NEEDLE,23
POWDER CHARGER,23
GORGET,23
WORKING,23
HIDE SCRAPER,23
WAR WHISTLE,23
MITTEN (MAN),23
CLOWN,23
BEADED BAND,23
SOCK (WOMAN),23
SLAB,23
PUNCH,23
KERCHIEF,23
MODEL SLEDGE,23
BLOW PIECE,23
SINEW TWISTER,23
BELT BUCKLE,23
RICE BOWL,23
HEAD CLOTH,23
MODEL JAR,23
KNIFE (BUTCHER),23
PANTALOON,23
TENTER,23
TONGS,23
BLACK HAT,23
CUSHION COVER,23
SARI,23
POCKET BOOK,23
THREAD BALL,23
SKIRT CLOTH,23
CEREMONIAL BLADE,23
WATER PUPPET,23
STRING CROSS,23
BLADE FRAGMENT,23
TRIPOD BOWL FRAGMENT,23
CEREMONIAL CHAIR,23
MURAL PAINTING FRAGMENT,23
COCONUT SHELL,22
FLINT,22
HAIR ORNAMENT (WOMAN),22
DRINKING VESSEL,22
BOW (CHILD),22
TWIG,22
LIME CONTAINER STOPPER,22
SAGO POUNDER,22
SCREEN,22
MASK PART,22
TROUGH,22
ADZE HAFT,22
CHEST ORNAMENT,22
WIG ORNAMENT,22
DYE MATERIAL,22
SHIRT (BOY),22
STONE SPEARPOINT,22
WAR SHIRT,22
LACROSSE STICK,22
SHUTTLECOCK,22
CRUPPER,22
GARTER (MAN),22
DANCE BELT,22
SHOE (CHILD),22
